,area_name_en,zone_index,rooms_en,weighted_score
957,Saih Shuaib 4,179,2 B/R,0.025780057
958,Saih Shuaib 4,179,3 B/R,0.083027638
959,Saih Shuaib 4,179,4 B/R,0.036503025
965,Saih Shuaib 4,179,Studio,0.001841957
966,Trade Center First,132,1 B/R,0.052226139
967,Trade Center First,132,2 B/R,0.016924068
968,Trade Center First,132,3 B/R,0.171520576
969,Trade Center First,132,4 B/R,0.067815296
970,Trade Center First,132,5 B/R,0.025964812
975,Trade Center First,132,Studio,0.002558853
976,Trade Center Second,57,1 B/R,0.035501076
977,Trade Center Second,57,2 B/R,0.013840197
978,Trade Center Second,57,3 B/R,0.388770719
979,Trade Center Second,57,4 B/R,0.044223073
980,Trade Center Second,57,5 B/R,0.0669933
984,Trade Center Second,57,Studio,0.002294609
985,Um Hurair First,200,1 B/R,0.063951665
986,Um Hurair First,200,2 B/R,0.015808487
987,Um Hurair First,200,3 B/R,0.0200176
988,Um Hurair First,200,4 B/R,0.020089167
990,Um Hurair First,200,Studio,0.002248213
991,Um Hurair Second,170,1 B/R,0.0298558
992,Um Hurair Second,170,2 B/R,0.016905501
993,Um Hurair Second,170,3 B/R,0.028383709
994,Um Hurair Second,170,4 B/R,0.047429262
997,Um Hurair Second,170,Studio,0.00239064
998,Um Suqaim First,207,1 B/R,0.024893648
999,Um Suqaim First,207,2 B/R,0.014488756
1000,Um Suqaim First,207,3 B/R,0.066851567
1001,Um Suqaim First,207,4 B/R,0.042029932
1002,Um Suqaim First,207,5 B/R,0.050719583
1005,Um Suqaim First,207,Studio,0.002196628
1006,Um Suqaim Second,67,1 B/R,0.035335328
1007,Um Suqaim Second,67,2 B/R,0.012008314
1008,Um Suqaim Second,67,3 B/R,0.129323281
1009,Um Suqaim Second,67,4 B/R,0.028757121
1010,Um Suqaim Second,67,5 B/R,0.168747367
1014,Um Suqaim Second,67,Studio,0.002292327
1015,Um Suqaim Third,74,1 B/R,0.035762084
1016,Um Suqaim Third,74,2 B/R,0.012378822
1017,Um Suqaim Third,74,3 B/R,0.235506195
1018,Um Suqaim Third,74,4 B/R,0.027746342
1019,Um Suqaim Third,74,5 B/R,0.078464445
1025,Um Suqaim Third,74,Studio,0.00458684
1026,Warsan Fourth,175,1 B/R,0.039097219
1027,Warsan Fourth,175,2 B/R,0.063256761
1028,Warsan Fourth,175,3 B/R,0.216383442
1029,Warsan Fourth,175,4 B/R,0.041509838
1030,Warsan Fourth,175,5 B/R,0.038788687
1037,Warsan Fourth,175,Studio,0.00207633
1038,World Islands,85,1 B/R,0.022652315
1039,World Islands,85,2 B/R,0.013869139
1040,World Islands,85,3 B/R,0.040816628
1041,World Islands,85,4 B/R,0.036252301
1042,World Islands,85,5 B/R,0.157594488
1046,World Islands,85,Studio,0.002238537
1047,Yaraah,178,1 B/R,0.073125879
1048,Zaabeel First,151,1 B/R,0.029633648
1049,Zaabeel First,151,2 B/R,0.021767765
1050,Zaabeel First,151,3 B/R,0.094884075
1051,Zaabeel First,151,4 B/R,0.043885433
1052,Zaabeel First,151,5 B/R,0.138254426
1058,Zaabeel First,151,Studio,0.002068086
1059,Zaabeel Second,185,1 B/R,0.041573055
1060,Zaabeel Second,185,2 B/R,0.012723081
1061,Zaabeel Second,185,3 B/R,0.115870844
1062,Zaabeel Second,185,4 B/R,0.026269099
1063,Zaabeel Second,185,5 B/R,0.124534186
1068,Zaabeel Second,185,Studio,0.002135577
