,area_name_en,zone_index,rooms_en,weighted_score
199,Al Jadaf,196,3 B/R,0.112508885
200,Al Jadaf,196,4 B/R,0.029693253
201,Al Jadaf,196,5 B/R,0.069875006
208,Al Jadaf,196,Studio,0.002151981
209,Al Karama,158,1 B/R,0.037828346
210,Al Karama,158,2 B/R,0.012261024
211,Al Karama,158,3 B/R,0.092693656
212,Al Karama,158,4 B/R,0.043870462
213,Al Karama,158,5 B/R,0.015072625
217,Al Karama,158,Studio,0.002131743
218,Al Kheeran,195,1 B/R,0.039894527
219,Al Kheeran,195,2 B/R,0.012906633
220,Al Kheeran,195,3 B/R,0.120208735
221,Al Kheeran,195,4 B/R,0.032717219
222,Al Kheeran,195,5 B/R,0.048715674
227,Al Kheeran,195,Studio,0.001966511
228,Al Kifaf,113,1 B/R,0.034328769
229,Al Kifaf,113,2 B/R,0.013075379
230,Al Kifaf,113,3 B/R,0.055657854
231,Al Kifaf,113,4 B/R,0.027001386
232,Al Kifaf,113,5 B/R,0.094176203
239,Al Kifaf,113,Studio,0.002716212
240,Al Maha,9,1 B/R,0.049085451
241,Al Maha,9,2 B/R,0.012638741
242,Al Manara,184,1 B/R,0.033189352
243,Al Manara,184,2 B/R,0.012177466
244,Al Manara,184,3 B/R,0.323122563
245,Al Manara,184,4 B/R,0.094180833
246,Al Manara,184,5 B/R,0.102983839
249,Al Manara,184,Studio,0.00224104
250,Al Marmoom,140,1 B/R,0.002031899
251,Al Marmoom,140,3 B/R,0.031178479
252,Al Merkadh,206,1 B/R,0.036423508
253,Al Merkadh,206,2 B/R,0.034367725
254,Al Merkadh,206,3 B/R,0.125088113
255,Al Merkadh,206,4 B/R,0.031853641
256,Al Merkadh,206,5 B/R,0.07408242
267,Al Merkadh,206,Studio,0.002906055
268,Al Mizhar First,160,1 B/R,0.046880793
269,Al Mizhar First,160,2 B/R,0.012193497
270,Al Mizhar First,160,3 B/R,0.529596244
271,Al Mizhar First,160,4 B/R,0.040768903
272,Al Mizhar First,160,5 B/R,0.048181442
276,Al Mizhar First,160,Studio,0.001864727
277,Al Mizhar Second,167,1 B/R,0.057885127
278,Al Mizhar Second,167,2 B/R,0.015303235
279,Al Mizhar Second,167,3 B/R,0.043015697
280,Al Mizhar Second,167,4 B/R,0.031812151
281,Al Mizhar Second,167,5 B/R,0.046407846
286,Al Mizhar Second,167,Studio,0.002368672
287,Al Muteena,154,1 B/R,0.363568555
288,Al Muteena,154,2 B/R,0.015863897
289,Al Muteena,154,3 B/R,0.169567431
290,Al Muteena,154,4 B/R,0.049820038
291,Al Muteena,154,5 B/R,0.127912704
295,Al Muteena,154,Studio,0.001727973
296,Al Nahda First,94,1 B/R,0.036254091
297,Al Nahda First,94,2 B/R,0.016156512
298,Al Nahda First,94,3 B/R,0.09446114
299,Al Nahda First,94,4 B/R,0.021794157
300,Al Nahda First,94,5 B/R,0.047088549
303,Al Nahda First,94,Studio,0.001904559
304,Al Nahda Second,218,1 B/R,0.034650873
305,Al Nahda Second,218,2 B/R,0.011199106
306,Al Nahda Second,218,3 B/R,0.097801475
307,Al Nahda Second,218,4 B/R,0.031134474
308,Al Nahda Second,218,5 B/R,0.043753618
313,Al Nahda Second,218,Studio,0.002480605
314,Al Raffa,191,1 B/R,0.049060183
315,Al Raffa,191,2 B/R,0.017493093
316,Al Raffa,191,3 B/R,0.031640647
317,Al Raffa,191,4 B/R,0.037043067
318,Al Raffa,191,5 B/R,0.083388086
323,Al Raffa,191,Studio,0.002084992
324,Al Ras,105,1 B/R,0.039227971
325,Al Ras,105,2 B/R,0.022833653
326,Al Ras,105,3 B/R,0.044251234
327,Al Ras,105,4 B/R,0.031407442
328,Al Ras,105,5 B/R,0.162250533
332,Al Ras,105,Studio,0.00171699
333,Al Rashidiya,25,1 B/R,0.135471246
334,Al Rashidiya,25,2 B/R,0.013673454
